,0
height,737497
best_block,000000000000000000007baf137f4c9a82e9124292aca662eb3a0e1fa6185216
tx_outs,82035401
total_amount,19046648
transactions,49428312
disk_size,4987801170
total,21000000
issuance_remaining,1953352
