,avgfee,avgfeerate,avgtxsize,blockhash,height,ins,maxfee,maxfeerate,maxtxsize,medianfee,mediantime,mediantxsize,minfee,minfeerate,mintxsize,outs,subsidy,swtotal_size,swtotal_weight,swtxs,time,total_out,total_size,total_weight,totalfee,txs,utxo_increase,utxo_size_inc
25,17604,2,6614,000000000000000000031d15905caef1e0d82910283d112dc465966d381996ab,703625,6725,169413,301,76156,1589,1633408946,249,250,2,190,500,625000000,590670,2284770,109,1633411152,101973626036,1018581,3996414,2711023,155,6225,466609
26,6366,11,727,000000000000000000074b791e63be9bf0fdf9729e8301051797b42106d317b7,703626,6795,1800000,906,90118,1040,1633409910,226,250,2,188,5042,625000000,992006,2778674,1395,1633412080,5843458374521,1295313,3991902,11338427,1782,1753,131221
27,5340,13,562,00000000000000000001a23f45c9f836d07322d631f8962247869e33e6923de5,703627,6463,778050,343,57498,1272,1633410031,247,142,1,188,7498,625000000,1059504,2615805,1898,1633413654,3926242778398,1403516,3991853,13335826,2498,1035,76643
28,13270,5,2534,00000000000000000003927fd3d3e92d251d475870bb4e7a4915d28f9f899e54,703628,6688,212664,208,52988,1310,1633410279,343,338,3,189,1113,625000000,128303,307640,295,1633413871,2591173502267,1049357,3991856,5493849,415,5575,417999
29,10585,10,1233,0000000000000000000ab3a3b491b2018199d4736f3782a637a37d8b71bb55f8,703629,6863,2546496,346,78058,1430,1633411085,226,321,2,188,3241,625000000,605028,1335720,767,1633414492,3164443599945,1270579,3997924,10903442,1031,3622,270116
30,2068,3,676,00000000000000000006a64f0f38424b14018b99b71371e66acf3dde8f61292c,703630,6710,137824,260,61880,570,1633411152,226,156,1,188,5207,625000000,1033890,3023901,1515,1633414669,161880434238,1275893,3991913,3898785,1886,1503,113490
31,6173,6,1149,000000000000000000093e43cfbdb8c6c0860eab22ef77e9625372f7ec0f3f07,703631,6253,429930,236,75151,1103,1633412080,247,250,2,189,5213,625000000,1014949,3151924,826,1633415074,495645875614,1226359,3997564,6586721,1068,1040,80810
32,4683,7,774,0000000000000000000b437339c5a872d84e4ed4722da1d2269182aab944d07b,703632,6268,268370,300,70212,1002,1633413654,226,250,2,189,6714,625000000,942865,2847934,1216,1633415713,3063388315796,1228854,3991890,7428080,1587,446,29189
33,3171,4,942,0000000000000000000368047dcccd4b9e957eaa315b94c7e0a73d37ec4267f9,703633,7897,280000,346,100419,671,1633413871,284,127,1,188,3753,625000000,1052251,2546287,1135,1633415998,3145361596633,1413655,3991903,4757989,1501,4144,296819
34,2899,7,558,00000000000000000007ed132e068c00998cdb94a41bcae3efc129565a9f5c0b,703634,6856,280500,752,65702,659,1633414492,283,129,1,188,6417,625000000,1087958,2598758,2112,1633416641,664218215170,1436258,3991958,7455447,2572,439,3675
35,3593,10,521,000000000000000000082a01cb2fcb42e67f8593d8bed530b21000d12a5fe5ca,703635,6943,359260,477,50832,846,1633414669,247,112,1,188,7788,625000000,1320021,3051825,2383,1633417603,1142703501594,1555017,3991809,10705337,2980,845,77618
36,1218,1,1581,0000000000000000000a5a04c663d83b7ca4ec2df5ccfb6b0259f45ebdb23b3d,703636,4100,30198,72,65749,204,1633415074,249,110,1,188,1054,625000000,599067,1239975,421,1633417619,70920416983,828501,2157711,638528,525,3046,223004
37,993,5,252,0000000000000000000364ac4f665750cf711f19c46dbb55f0c6df038c671f05,703637,17,5050,25,374,430,1633415713,226,225,1,192,32,625000000,3556,9619,14,1633417623,99591207,3781,10519,14905,16,15,1262
38,6206,17,499,0000000000000000000de06fdba8ada023b69cd9778d5a8fd2cd0bc018e3b80b,703638,6771,1258574,378,47666,1190,1633415998,226,278,1,188,8420,625000000,1120442,2710277,2183,1633419163,4997551861355,1442023,3996601,17917442,2888,1649,123909
39,1963,6,446,00000000000000000001cadebece4aec8b0e2d2bb3dac5873b78e4d0e6e5526d,703639,6660,298195,610,61155,540,1633416641,257,110,1,188,7164,625000000,1167450,2959773,2549,1633419559,3062662604662,1397460,3879813,6144941,3130,504,68264
40,6557,2,5305,000000000000000000053e41eddf7e96526dbfd4e933073058ebce1334e1e8f3,703640,10007,403770,298,171071,864,1633417603,283,142,1,189,839,625000000,1727501,3709469,268,1633419635,156843919013,1745535,3781605,2157366,330,9168,666490
41,28849,1,48158,0000000000000000000b4166ca7b66175e45fe99046b5eb54034af8d9a4e4a78,703641,7029,94266,194,171073,1764,1633417619,371,209,1,192,50,625000000,1202662,2554507,21,1633419638,581916743,1203967,2559727,721238,26,6979,509288
42,3453,11,433,00000000000000000004fad2fbcdb04ce686f1350faef9df6bd44db049561093,703642,6802,345512,477,29739,853,1633417623,226,162,1,188,8578,625000000,1154603,2781404,2570,1633420655,8690357688390,1458349,3996388,11629515,3368,1776,142815
43,4817,7,821,000000000000000000086a223011df474eb93b82696f73621ff3432269414e95,703643,7101,359260,366,74007,1059,1633419163,226,248,1,188,4003,625000000,1052538,2997273,1176,1633421150,3021708747736,1301141,3991685,7626856,1584,3098,230069
44,4170,6,735,0000000000000000000a8e83e09be22bd400eb7488ee9875b7406e11eb53ea7c,703644,6646,204800,311,53006,982,1633419559,247,187,1,189,4503,625000000,751752,2105502,1224,1633421614,5610849118548,1223338,3991846,6940286,1665,2143,160617
45,4515,10,640,00000000000000000001b03717395356a7be0ff4b1bcf9a64071a455103f3e12,703645,7836,480987,389,171071,984,1633419635,226,184,1,188,6279,625000000,1271209,2975962,1782,1633422393,3480357274907,1525123,3991618,10746011,2381,1557,110480
46,5057,12,606,000000000000000000042c775718039345cf6f16129fed717dbe4d9f33e7151e,703646,7262,1110000,608,154725,939,1633419638,226,187,1,188,6553,625000000,1202436,2704818,1949,1633423160,3311464757285,1524163,3991726,12703755,2513,709,51175
47,4945,14,494,000000000000000000012e801a3b415ad2a192deffd88e8536fe9ef5112545d7,703647,7211,1985400,318,59780,1115,1633420655,226,327,1,188,7967,625000000,1191583,2831143,2270,1633424241,6401789826338,1481696,3991595,14832316,3000,756,59057
48,4971,14,498,00000000000000000000c61039c50ae1fc075bbe32918023f61671496d67681d,703648,7041,2546496,349,55257,846,1633421150,225,143,1,188,7479,625000000,1175540,2841932,2342,1633425023,6177379678451,1463053,3991984,14581977,2934,438,33766
49,5125,10,803,000000000000000000018dc30378a7d580c45ae3de35e046a16fec8c357a0e81,703649,8319,1006650,389,171071,1000,1633421614,226,144,1,188,5297,625000000,1467914,3306011,1528,1633425625,2923621600332,1640540,3996515,10460549,2042,3022,218383
50,4088,10,511,00000000000000000006e2f7f583b1145920440c5a1c96f78bb80dcd6433b3f0,703650,6711,476400,484,64407,1000,1633422393,226,129,1,187,6785,625000000,1082670,2983899,1956,1633426428,8253015475101,1334614,3991675,10676345,2612,74,5074
51,4266,12,485,0000000000000000000d6b8d16851f7bc690da83817db2799a698930dee95559,703651,6720,1004021,384,52521,944,1633423160,226,189,1,188,7592,625000000,1154457,3028866,2234,1633427324,5846340052914,1395235,3991978,12252334,2873,872,66675
52,6924,3,2393,0000000000000000000915d9118974cd57d0648c6873ee5dbab328cbe3839350,703652,7514,403200,201,171071,653,1633424241,248,166,1,188,1118,625000000,928919,2868398,366,1633427397,191024506797,1210974,3996618,3503765,507,6396,475049
53,4894,2,3967,000000000000000000017110d45c654147e5c4d91a8e44ed7942c5c442ecd100,703653,9706,215260,304,171076,407,1633425023,284,132,1,188,2696,625000000,1716952,3781129,331,1633427439,2497936894818,1769660,3991961,2182982,447,7010,505075
54,4719,2,3340,00000000000000000005a66de22c7567a64f59786ef6020dd1b156cbf30e2248,703654,9911,215700,156,171074,487,1633425625,283,129,1,188,1309,625000000,1598163,3475422,429,1633427498,4892818837540,1727286,3991914,2439836,518,8602,620178
55,3475,3,1726,0000000000000000000d199a7b26527a61b6040d638077650002a45759c9ccf6,703655,9834,292200,236,171075,769,1633426428,247,158,1,188,2651,625000000,1712861,3749276,838,1633427744,382655475156,1773524,3991928,3569502,1028,7183,514563
56,4300,8,739,00000000000000000003c51f5e2139ec1e344b61b2cb92604e44312a2cd1e48b,703656,7298,2413800,301,171074,678,1633427324,283,111,1,187,6244,625000000,1337133,3202683,1695,1633428133,521968735850,1534458,3991983,8923656,2076,1054,50694
57,5075,11,616,000000000000000000042fe643d4c50cfcba19a20590fcd74feb56b79e06b872,703657,6937,1328213,333,75601,1000,1633427397,226,270,1,188,5940,625000000,1138911,2981511,1748,1633428785,3365119384197,1392992,3997835,11470110,2261,997,73218
58,3016,6,697,00000000000000000007d167030d6d2424640ccdc599eb41977bd3127432d9fc,703658,7609,278900,364,171068,727,1633427439,249,112,1,188,5083,625000000,1207819,2856511,1725,1633429205,750642702444,1491687,3991983,6454548,2141,2526,170075
59,6320,3,3601,000000000000000000022f18e3da9c7fcae784b7d433adf62a09a51959c08362,703659,10274,284800,349,171072,854,1633427498,254,110,1,188,1442,625000000,1733242,3739783,401,1633429316,258674769600,1797389,3996371,3153882,500,8832,642860
60,3322,7,746,0000000000000000000d6acfc8cba211dadb5bf7f9ee01ae4adb92efd468a9be,703660,5251,576000,456,171075,705,1633427744,226,110,1,188,3317,625000000,861231,1963803,1086,1633429604,2729870618752,1000618,2521351,4451941,1341,1934,135030
61,3436,12,408,0000000000000000000ca2b73063e9ebe201f30330f84279983ae3bf56be4eb3,703661,985,322000,421,4467,735,1633428133,246,111,1,188,1337,625000000,174807,422658,424,1633429740,178686697580,221401,609034,1862323,543,352,29197
62,3692,9,564,00000000000000000004f2d41496c82921a92e37ed9e80c87df7f8d4264283e4,703662,3742,274700,313,52106,744,1633428785,247,111,1,188,3448,625000000,633922,1525495,1066,1633430066,2830209979283,765484,2051743,5003965,1356,294,13116
63,3595,10,493,000000000000000000058f674bc3f82b56a913879bb060f7ebd817fed5f52a06,703663,1878,340000,349,23127,719,1633429205,228,111,1,188,1938,625000000,300402,716238,599,1633430247,2524837581021,387277,1063738,2819156,785,60,7885
64,3478,12,374,000000000000000000079ca704398eca2bd69b4816a49f14e0f9b80441768a16,703664,860,182700,313,5176,852,1633429316,226,144,1,188,1223,625000000,132497,326825,343,1633430376,2640978329505,188184,549573,1749851,504,363,28594
65,3341,9,495,0000000000000000000a57c6d723e30877759aec9182247d5eba6a1aae1b1448,703665,1546,268000,300,29520,830,1633429604,248,111,1,188,1797,625000000,301915,764932,557,1633430531,135666272207,349933,957004,2359355,707,251,21230
66,3787,9,592,00000000000000000007405d5bfbec3bd90314fd38f528fdd8fb31add387fb5d,703666,7399,609968,346,150725,852,1633429740,226,146,1,188,6682,625000000,1241023,2941825,1962,1633431276,5638988534012,1503552,3991941,9616366,2540,717,50335
67,3637,8,615,0000000000000000000dcab109aeb88737b6dbe707428d841c9f507d5b4f6575,703667,6105,359260,302,99882,666,1633430066,250,111,1,188,5889,625000000,958378,2241439,1749,1633431700,2884578815631,1342110,3776367,7929597,2181,216,5690
68,4701,5,1032,000000000000000000037c87dbc177e755f64b5b4f08701c390ec2d23aa00d9b,703668,879,141748,261,96278,1030,1633430247,296,133,1,188,1858,625000000,97416,211146,171,1633431737,11580899432,221983,709414,1010717,216,979,74184
